,Unnamed: 0,time,accX,accY,accZ,gyrX,gyrY,gyrZ,y,x
108,108,2.140467643737793,0.04,-0.01,9.51,-0.0087266462599716,-0.0076358154774751,0.0250891079974184,-0.4568545406638264,0.04354153692704567
109,109,2.1575350761413574,0.18,-0.08,9.85,0.0534507083423263,-0.0327249234748936,0.0229074464324255,-0.4611741257324035,0.04375723207374685
110,110,2.178600549697876,-0.05,-0.54,9.98,0.0730856624272625,-0.047996554429844,0.0010908307824964,-0.4665066128851036,0.04402240542793344
111,111,2.1990156173706055,0.06,-0.28,9.68,0.0905389549472058,-0.0654498469497873,0.0174532925199432,-0.47167580920169155,0.044278510447333844
112,112,2.2172696590423584,,0.14,10.06,0.0403607389523688,-0.0545415391248228,0.0065449846949787,-0.4762992002884273,0.04450696189175421
113,113,2.239877939224243,-0.43,-0.01,9.91,0.0065449846949787,-0.0054541539124822,-0.0021816615649929,-0.4820276188177271,0.04478945146150651
114,114,2.256476640701294,0.29,0.23,9.97,-0.0403607389523688,-0.0305432619099007,0.0349065850398865,-0.4862351658901237,0.04499669964687955
115,115,2.2787139415740967,0.03,-0.22,9.49,-0.0261799387799149,-0.0021816615649929,0.0076358154774751,-0.4918748665959007,0.04527438857588352
116,116,2.2985236644744873,-0.44,-0.06,9.22,-0.0676315085147802,-0.0676315085147802,0.0294524311274043,-0.49690207226323035,0.04552202081862056
117,117,2.31793475151062,0.0,0.39,10.04,0.0,-0.1134464013796314,0.0207257848674326,-0.5018314539115355,0.045765117030205624
118,118,2.339500665664673,-0.54,0.01,10.07,-0.0065449846949787,-0.1069014166846526,0.0076358154774751,-0.5073124564737246,0.04603596125139821
119,119,2.3561177253723145,-0.34,-0.46,9.66,0.0021816615649929,-0.0534507083423263,-0.0403607389523688,-0.5115392469920185,0.04624536551173916
120,120,2.3778271675109863,0.52,0.48,9.78,0.0294524311274043,0.0578140314723121,-0.059995693037305,-0.5170665445870218,0.04652010205142432
121,121,2.397432565689087,0.55,0.05,10.0,0.0,0.0850848010347235,-0.0425424005173617,-0.5220637142905084,0.0467695522690285
122,122,2.416517734527588,0.26,0.5,10.21,0.0370882466048795,0.0807214779047377,-0.0196349540849362,-0.5269338666933426,0.04701380718457483
123,123,2.4396233558654785,0.18,0.25,9.88,-0.011999138607461,0.0829031394697306,-0.0381790773873759,-0.5328380227395524,0.047311668576662455
124,124,2.456206798553467,0.19,-0.23,9.89,0.0043633231299858,0.0490873852123405,-0.011999138607461,-0.5370814681204366,0.047527078557149924
125,125,2.478008270263672,-0.09,-0.18,10.09,0.0087266462599716,-0.0152716309549503,-0.0109083078249645,-0.5426682210552445,0.047812570390967285
126,126,2.498077154159546,-0.05,-0.17,9.88,0.0381790773873759,0.0556323699073192,-0.0163624617374468,-0.547819685996736,0.04807790787060198
127,127,2.515080213546753,0.1,-0.03,9.66,0.0229074464324255,0.0839939702522271,-0.0054541539124822,-0.5521911365421491,0.04830477968653439
128,128,2.5348994731903076,0.18,0.16,9.75,0.035997415822383,0.0807214779047377,-0.0065449846949787,-0.5572951385365239,0.04857181079294019
129,129,2.554689884185791,-0.37,-0.03,10.04,-0.011999138607461,0.0338157542573901,-0.0261799387799149,-0.5624013397173772,0.04884142803957578
130,130,2.57527756690979,-0.14,0.25,10.17,0.0076358154774751,0.0174532925199432,-0.0065449846949787,-0.5677239866524655,0.049125287965735745
131,131,2.594414472579956,-0.21,0.03,9.13,-0.0272707695624114,-0.0436332312998582,-0.0163624617374468,-0.5726818320950112,0.04939244117021968
132,132,2.6116247177124023,0.03,-0.04,9.91,0.0152716309549503,0.011999138607461,-0.0338157542573901,-0.5771493277177336,0.0496355714680162
133,133,2.632795810699463,0.06,0.29,10.1,-0.0294524311274043,0.0316340926923972,-0.0141808001724539,-0.5826568339711147,0.04993860085105037
134,134,2.652982711791992,0.11,-0.32,10.29,0.0087266462599716,0.0370882466048795,-0.0305432619099007,-0.5879208744264686,0.050231816440280186
135,135,2.6737565994262695,-0.41,-0.05,9.88,-0.0098174770424681,-0.0523598775598298,-0.0098174770424681,-0.59335117512198,0.0505381523714806
136,136,2.6927716732025146,-0.64,-0.12,9.85,0.0098174770424681,0.0872664625997164,-0.0163624617374468,-0.5983337453678841,0.05082284267974069
137,137,2.709829330444336,0.03,0.12,10.61,0.047996554429844,-0.0109083078249645,-0.0185441233024397,-0.6028133793582272,0.0510818741492315
138,138,2.7305400371551514,-0.47,0.12,9.81,-0.0141808001724539,-0.0763581547747519,-0.0458148928648511,-0.6082652400374143,0.0514012168303158
139,139,2.7505505084991455,0.12,-0.02,9.91,-0.0719948316447661,0.0098174770424681,-0.0414515697348653,-0.6135463402579416,0.05171501445594767
140,140,2.769697427749634,0.5700000000000001,-0.14,10.22,-0.023998277214922,0.0512690467773334,-0.0010908307824964,-0.6186121178419882,0.05202030545211679
141,141,2.790905475616455,-0.26,0.08,9.36,-0.0687223392972767,-0.0250891079974184,-0.011999138607461,-0.6242376275601896,0.052364441929309447
142,142,2.8078665733337402,0.07,0.26,9.66,-0.0043633231299858,0.0425424005173617,-0.0414515697348653,-0.6287475052873046,0.05264435679158623
143,143,2.829653739929199,-0.16,-0.5700000000000001,9.97,-0.0272707695624114,0.0676315085147802,-0.0218166156499291,-0.6345547192277495,0.05301026571158145
144,144,2.8489670753479004,-0.29,0.09,10.01,0.0054541539124822,-0.0556323699073192,-0.0229074464324255,-0.6397156672676129,0.05334080435118907
145,145,2.8684329986572266,0.35,0.18,9.69,-0.0043633231299858,-0.0054541539124822,0.0,-0.6449296501097392,0.05368003531951304
146,146,2.8903658390045166,0.25,0.04,9.29,-0.0458148928648511,-0.0392699081698724,0.0130899693899574,-0.6508188032504304,0.05406982056160366
147,147,2.906886577606201,-0.37,-0.2,10.52,-0.011999138607461,-0.0501782159948369,0.0010908307824964,-0.6552645518084318,0.05436888142181601
148,148,2.928464651107788,-0.23,-0.4,9.61,-0.0130899693899574,0.0185441233024397,-0.0316340926923972,-0.6610834421812382,0.05476677733339817
149,149,2.950119972229004,0.2,0.26,9.81,0.0207257848674326,-0.0163624617374468,0.0196349540849362,-0.6669364498274268,0.055174648617011865
150,150,2.9710514545440674,-0.31,0.11,9.5,0.059995693037305,-0.08617563181722,-0.0130899693899574,-0.6726057442842829,0.05557728671586509
151,151,2.9915361404418945,0.02,0.13,9.83,0.1025380935546668,-0.0665406777322838,-0.0294524311274043,-0.678164605653593,0.05597956696864052
152,152,3.0084965229034424,-0.24,0.45,9.26,0.0283616003449078,-0.0447240620823546,-0.0392699081698724,-0.682774417110461,0.056318969970054755
153,153,3.0301074981689453,0.0,0.06,9.82,0.0065449846949787,0.0032724923474893,-0.0305432619099007,-0.6886570083433686,0.0567599736725362
154,154,3.050154685974121,0.43,0.65,10.1,-0.0316340926923972,-0.0523598775598298,-0.0098174770424681,-0.6941217663568645,0.0571778386123198
155,155,3.06964373588562,-0.33,-0.22,9.64,-0.0196349540849362,-0.0174532925199432,-0.023998277214922,-0.6994406397872031,0.057592376667620473
156,156,3.091097354888916,-0.33,-0.31,8.96,-0.0752673239922554,-0.1014472627721704,-0.0043633231299858,-0.7053016318145793,0.058058413553694205
157,157,3.1081576347351074,-0.14,0.27,10.07,-0.0098174770424681,-0.1079922474671491,-0.0218166156499291,-0.7099659565218134,0.05843645113423107
158,158,3.129727363586426,0.36,0.11,9.88,-0.0021816615649929,-0.0643590161672909,0.0098174770424681,-0.7158664641497182,0.05892407098980178
159,159,3.1499505043029785,0.21,-0.61,9.95,-0.0043633231299858,-0.0316340926923972,-0.0098174770424681,-0.7214006580318668,0.059391269988635836
160,160,3.169745683670044,-0.06,-0.02,9.55,0.0163624617374468,0.0654498469497873,-0.0490873852123405,-0.7268183532740088,0.059858195176157244
161,161,3.191145658493042,0.22,-0.15,9.97,0.0218166156499291,0.0469057236473476,-0.0338157542573901,-0.7326744452038048,0.06037391676121738
162,162,3.208224296569824,-0.34,0.13,9.94,-0.0174532925199432,0.0730856624272625,-0.0283616003449078,-0.7373463082710912,0.06079382804593657
163,163,3.229761838912964,0.04,-0.15,9.91,0.0076358154774751,0.059995693037305,-0.0196349540849362,-0.7432343101602297,0.06133413852941923
164,164,3.24904727935791,0.2,-0.01,9.53,-0.0218166156499291,0.0414515697348653,0.0032724923474893,-0.7485018853990123,0.06182835026695992
165,165,3.267230749130249,0.09,0.44,10.27,0.0141808001724539,0.0196349540849362,0.0054541539124822,-0.7534631852860473,0.06230350417696193
167,167,3.3037092685699463,0.18,-0.04,9.63,0.0196349540849362,0.1014472627721704,0.0130899693899574,-0.7633964416849663,0.06328426545356763
168,168,3.3216135501861572,0.32,0.0,10.47,0.047996554429844,0.1167188937271207,0.0141808001724539,-0.7682601593314449,0.06377940627747583
169,169,3.3422417640686035,-0.29,0.13,9.9,-0.0163624617374468,0.0065449846949787,-0.0054541539124822,-0.7738526293462116,0.06436138473313306
170,170,3.3616528511047363,0.01,0.0,9.74,-0.0294524311274043,-0.0250891079974184,-0.0152716309549503,-0.7791029762841895,0.0649204803730586
171,171,3.38200306892395,0.01,-0.09,9.69,0.0054541539124822,-0.0436332312998582,-0.0185441233024397,-0.7845934718773133,0.0655187731415244
172,172,3.402020215988159,-0.25,0.29,10.22,0.0087266462599716,0.0403607389523688,-0.0163624617374468,-0.7899791435903186,0.06611962281501403
173,173,3.4210853576660156,0.44,0.33,9.43,-0.0589048622548086,0.0447240620823546,-0.0174532925199432,-0.7950939632637509,0.06670348396442678
174,174,3.442230701446533,0.52,-0.5,9.25,-0.035997415822383,0.011999138607461,-0.0414515697348653,-0.8007491582183692,0.06736450476394822
175,175,3.459268808364868,-0.6,-0.51,10.23,0.0163624617374468,0.0021816615649929,-0.0283616003449078,-0.8052918026217162,0.06790759290373044
176,176,3.4813780784606934,-0.32,-0.04,9.17,-0.0196349540849362,0.0752673239922554,-0.0294524311274043,-0.8111671777467809,0.06862647967926816
178,178,3.5205812454223633,-0.68,0.21,10.27,-0.0010908307824964,-0.0807214779047377,-0.059995693037305,-0.82153041393636,0.0699413409862562
179,179,3.5416226387023926,-0.67,0.03,9.79,-0.0676315085147802,0.0021816615649929,-0.1014472627721704,-0.827063866901525,0.07066871572239984
180,180,3.5587315559387207,0.1,-0.16,9.46,-0.0730856624272625,0.0469057236473476,-0.0785398163397448,-0.8315487480407916,0.07127152736716817
181,181,3.58048415184021,0.11,0.25,9.26,-0.0676315085147802,-0.0043633231299858,-0.0534507083423263,-0.8372330654944216,0.0720529177479941
182,182,3.600482702255249,-0.53,-0.22,9.93,-0.0163624617374468,0.0141808001724539,-0.0403607389523688,-0.8424425594932452,0.07278630275592717
183,183,3.620030164718628,-0.75,-0.12,9.62,-0.0261799387799149,0.035997415822383,-0.0436332312998582,-0.8475208095557566,0.07351724974189736
184,184,3.6418795585632324,-0.31,-0.21,9.68,-0.0152716309549503,-0.0556323699073192,-0.0578140314723121,-0.8531832854448304,0.07435102794490449
185,185,3.659085750579834,0.66,0.3,9.94,0.0065449846949787,-0.0098174770424681,-0.0610865238198015,-0.857634180916594,0.07502024595595354
186,186,3.680649757385254,0.31,-0.23,9.46,0.0054541539124822,-0.035997415822383,-0.0065449846949787,-0.863205205415675,0.0758748936056078
187,187,3.700561761856079,-0.06,-0.42,9.72,-0.0032724923474893,-0.0032724923474893,-0.0327249234748936,-0.8683459217172528,0.07668002927382064
188,188,3.7200398445129395,-0.01,-0.23,9.95,0.0076358154774751,-0.074176493209759,-0.0021816615649929,-0.8733753434703175,0.07748265970236434
189,189,3.7415573596954346,-0.38,-0.39,9.36,0.0545415391248228,-0.074176493209759,-0.0512690467773334,-0.8789375545117215,0.07838686386840052
190,190,3.7585437297821045,0.21,0.17,10.55,0.1167188937271207,-0.0294524311274043,-0.023998277214922,-0.88333738318189,0.07911383397912504
